ger,avgFit,bestFit
0,82,11
1,60,11
2,40,11
3,27,11
4,15,11
5,15,11
6,13,11
7,14,11
8,13,11
9,13,11
10,12,11
11,14,11
12,14,11
13,15,11
14,13,11
15,13,11
16,13,11
17,11,11
18,11,11
19,11,11
