ger,avgFit,bestFit
0,73,12
1,42,12
2,18,12
3,13,12
4,13,12
5,13,12
6,12,12
7,12,12
8,12,12
9,13,12
10,12,12
11,12,12
12,12,12
13,12,12
14,12,12
15,12,12
16,12,12
17,12,12
18,12,12
19,12,12
