ger,avgFit,bestFit
0,34.72247472384776,4.076443842761005
1,28.852887520795708,4.076443842761005
2,23.599619072247254,6.1711545788687765
3,21.56140186921432,4.840340419608253
4,21.151690117823183,6.388111723780721
5,19.74983628267001,6.625991905518884
6,18.448198794358053,2.459975743289604
7,17.632999149217298,4.230724830411759
8,15.692008265513723,6.625991905518884
9,15.05686878117286,3.693577673038426
10,15.309144428668422,3.4556974913002634
11,12.432413420397232,3.0164556603196466
12,12.66734313408238,2.338857521418795
13,12.484327754790108,2.11469385875251
14,12.304941670867649,2.11469385875251
15,10.611941436406344,2.11469385875251
16,10.191569385863378,2.1531462416908944
17,8.671117098504961,2.1531462416908944
18,7.040626456107847,2.1531462416908944
19,4.940615550135828,2.1531462416908944
