ger,avgFit,bestFit
1,32.75705427961647,4.242805644846625
2,26.715050378832302,4.459863002815609
3,23.042718514637976,3.461082138106616
4,20.19882513099836,2.5812166008480295
5,17.66886088203989,2.329292134046172
6,15.594199464516555,2.6371632194244077
7,13.627354715668739,2.340859330494924
8,12.38622930954055,2.1880472308560077
9,10.541269591565117,2.322345494092584
10,8.91864627152405,2.005260366060587
11,7.727666709355009,1.5195722967329974
12,6.563155162403907,1.4679386719679204
13,5.848101174440941,1.4021464979031684
14,5.506317658851353,1.3637457521112615
15,4.854582860822989,1.3354627921568807
16,4.62341824527015,1.3697574456464383
17,4.399613761721943,1.3801410775843561
18,4.07184977149762,1.5893042726588742
19,3.574501759213296,1.5553732689217679
20,3.0066152071945287,1.5495577088041443
