ger,avgFit,bestFit
0,37.81900459742435,8.050113313792284
1,31.034093144705647,8.050113313792284
2,27.046724449195413,3.360503716317048
3,25.241513109850924,3.2772365026342527
4,20.929873979270095,1.2785445171055834
5,18.845726844680698,4.450414453955251
6,18.889253285298437,4.327809452881041
7,18.07239540526165,3.0204378944239068
8,15.695687222149909,3.0204378944239068
9,12.356509470171222,2.903507475958726
10,12.595844290736135,2.782557712685744
11,10.354570194415505,2.5163280317609065
12,7.880079999688455,2.5163280317609065
13,6.597272417776863,2.5163280317609065
14,6.791042830097578,2.3268278130903113
15,5.8099589228962705,2.3268278130903113
16,4.391423685154392,2.316561829676612
17,4.7831131265754285,2.316561829676612
18,3.4606535214863836,2.0889476313521484
19,3.6103147186932647,2.0889476313521484
