ger,avgFit,bestFit
0,39.133166192409504,9.407720209696144
1,30.41368426315048,6.889948521018686
2,27.004423911102553,3.592289118028795
3,21.091212819427614,4.987533371004922
4,18.346432575567256,4.288804606408672
5,15.627764461449713,3.592289118028795
6,13.348689142258106,3.606837334898284
7,11.80657011607685,2.5361529406478454
8,10.092069434781692,2.202644793962424
9,9.32790348715759,2.202644793962424
10,8.716594863445406,2.202644793962424
11,7.555613016058947,2.439166830750814
12,7.22736760886629,2.439166830750814
13,4.338145397792986,2.1007035148225945
14,3.088002772288182,2.1007035148225945
15,3.6990241579026013,2.1007035148225945
16,4.000570123431864,2.1007035148225945
17,2.8334831999323375,2.1007035148225945
18,2.3811117934592416,2.1742923401640972
19,2.3006758794792517,2.1742923401640972
