ger,avgFit,bestFit
0,38.36964369483549,2.404388598295615
1,31.76556424228799,2.404388598295615
2,27.320255641810874,2.404388598295615
3,25.540735834461557,2.404388598295615
4,22.796240267154882,2.404388598295615
5,20.170354647358852,2.3180312573453143
6,18.50377522392243,3.495663163270695
7,15.658214694123252,3.2304078867921753
8,14.084577898919639,2.5338923984122985
9,12.105062379594473,2.5338923984122985
10,8.143519459790705,2.5338923984122985
11,6.609464449704719,1.1729613024332117
12,6.560267928272326,1.8245587299234245
13,4.305444934169022,1.438216578911728
14,3.2932226216673963,1.438216578911728
15,3.566183853455826,1.1254786940365804
16,2.9175381096036967,1.1254786940365804
17,2.1980692281200853,1.1254786940365804
18,2.7640008834908927,1.1254786940365804
19,1.8441988809317345,1.1254786940365804
