ger,avgFit,bestFit
0,37.19368038587848,1.3208443479136207
1,30.144730205962848,1.4947471781055697
2,24.873069649373434,0.650983613605181
3,22.32726146592429,0.6226311598068541
4,19.274998163454654,0.650983613605181
5,17.54021308283603,0.650983613605181
6,16.191141411481215,0.45509635329866427
7,15.20836668941336,0.4267438995003374
8,14.253895633071927,0.04025920959115936
9,13.629342341995159,0.04025920959115936
10,12.596185404289033,0.04025920959115936
11,12.237017498237263,0.08774181798778713
12,12.102544224415173,0.059389364189463834
13,11.745792651738,0.059389364189463834
14,10.996989477879701,0.011906755792832513
15,10.26490350386246,0.059389364189463834
16,9.513192609521177,0.04025920959115936
17,8.881603203618921,0.04025920959115936
18,7.91739415179248,0.04025920959115936
19,7.060337891313723,0.04025920959115936
