ger,avgFit,bestFit
0,36.3907047468527,10.245301347838158
1,32.14466257853397,6.409298872771352
2,24.96507878534392,4.643212232986194
3,20.879179471879198,4.643212232986194
4,17.29486818949226,3.17232097417072
5,16.363877665601162,3.146207577401359
6,12.749799888643405,2.1112614795478066
7,10.728238949230926,2.228670925723762
8,9.858114310517669,2.11469385875251
9,8.100576724620659,1.4551442839604007
10,5.403046741844239,1.4551442839604007
11,4.466428509210247,1.579446815954885
12,3.2781018573840726,1.4551442839604007
13,3.17446891157916,1.4756848451258548
14,2.4653577975738763,1.2104295686473385
15,2.5338800837228925,1.2104295686473385
16,2.395108710786977,1.115895620547601
17,2.295427688259048,1.115895620547601
18,1.9864691410061008,1.115895620547601
19,1.485582227636213,1.115895620547601
