ger,avgFit,bestFit
1,33.187717564494676,5.008865865525367
2,27.61606767427304,4.774401089995745
3,23.13153262996846,3.296935455300735
4,20.072475564841547,3.0445138463394117
5,17.750665566415428,2.578664143558686
6,15.993309183956725,2.3373808959631037
7,14.481114968851653,2.104755222018422
8,12.693379256343055,2.2448827415170935
9,11.553396346998216,2.1708446628702713
10,9.692549618075876,1.8350994528848055
11,7.7719672599646215,1.8669938342654184
12,6.4533970581859945,1.5564922640883296
13,5.4354558856533055,1.9567426311303049
14,4.526529827762712,1.8667135716271026
15,3.8963167497162146,1.8358656168429603
16,3.4048510657251696,1.8952893103567008
17,3.449571841012987,1.8753968415418434
18,3.050850731894582,1.8673819383666825
19,2.632593319989771,1.8703728179840362
20,2.3771649969839714,1.8703728179840362
