ger,avgFit,bestFit
0,40.401244639838225,7.861438247609069
1,33.19656403606069,2.1759717536886036
2,26.137456753919327,2.2954545381294196
3,23.620770147118268,2.157725859217873
4,20.965985832679756,2.157725859217873
5,18.98972902033301,2.0838796468576
6,16.74446189401505,2.0838796468576
7,14.607895773957699,1.978666208586393
8,13.20459949788836,2.157725859217873
9,13.032911495306767,2.0096075572253937
10,12.044922663816877,2.0096075572253937
11,8.95773490146177,2.0096075572253937
12,8.391052673631952,1.7462751399284109
13,7.463952478925885,1.7462751399284109
14,7.365828195729284,2.0096075572253937
15,6.273176979814269,2.0096075572253937
16,5.17416708126078,2.0096075572253937
17,6.32088506434282,2.0096075572253937
18,5.089670397839418,2.0096075572253937
19,5.530659176981038,2.0096075572253937
