ger,avgFit,bestFit
0,74.9435189108259,74.9435189108259
1,40.45978615227152,40.45978615227152
2,30.264103791993506,30.264103791993506
3,35.22293859399998,35.22293859399998
4,27.44368688445642,27.44368688445642
5,24.907069796424224,24.907069796424224
6,24.907069796424224,24.907069796424224
7,50.79381486515284,50.79381486515284
8,17.997850171117623,17.997850171117623
9,49.84660191862024,49.84660191862024
10,42.31949088823298,42.31949088823298
11,10.227661347316154,10.227661347316154
12,27.192738925730314,27.192738925730314
13,51.15740742709349,51.15740742709349
14,32.1576641917575,32.1576641917575
15,19.48309750738132,19.48309750738132
16,19.48309750738132,19.48309750738132
17,49.252306577980846,49.252306577980846
18,49.252306577980846,49.252306577980846
19,35.03215047848799,35.03215047848799
