ger,avgFit,bestFit
0,36.52564627863259,1.6497058003715352
1,29.26955050829143,1.9486335619768589
2,24.814587486631908,4.527941022920526
3,21.48539759936873,4.527941022920526
4,17.263262377280718,3.2284957499273474
5,14.148303821511204,2.085451705501555
6,11.880939280617735,2.085451705501555
7,8.246508446491077,2.3303777559072074
8,7.652337054238354,2.049671512467139
9,6.809629551191722,1.633765103545258
10,5.287771508711152,1.633765103545258
11,5.592497018886173,1.2686954291989352
12,5.729332332320151,1.2686954291989352
13,4.980819446593944,1.2686954291989352
14,3.7145903780378915,1.1649334583699016
15,2.541322930724714,1.1649334583699016
16,1.7932125432769437,1.1639221208837682
17,1.5514331630573615,1.1639221208837682
18,1.3933755052335506,1.1639221208837682
19,1.296638384471293,1.1639221208837682
