ger,avgFit,bestFit
0,37.494462822164344,23.96288663908338
1,28.175931862454497,18.162021189230025
2,25.92830086054097,18.162021189230025
3,22.95316789556812,18.162021189230025
4,22.909848537464377,18.162021189230025
5,19.625849137228556,18.162021189230025
6,18.162021189230025,18.162021189230025
7,18.162021189230025,18.162021189230025
8,18.162021189230025,18.162021189230025
9,18.162021189230025,18.162021189230025
10,18.162021189230025,18.162021189230025
11,18.162021189230025,18.162021189230025
12,18.162021189230025,18.162021189230025
13,18.162021189230025,18.162021189230025
14,18.162021189230025,18.162021189230025
15,18.162021189230025,18.162021189230025
16,18.162021189230025,18.162021189230025
17,18.162021189230025,18.162021189230025
18,18.162021189230025,18.162021189230025
19,18.162021189230025,18.162021189230025
