ger,avgFit,bestFit
0,5.151724599663378,5.151724599663378
1,5.151724599663378,5.151724599663378
2,5.151724599663378,5.151724599663378
3,5.151724599663378,5.151724599663378
4,5.151724599663378,5.151724599663378
5,5.151724599663378,5.151724599663378
6,5.151724599663378,5.151724599663378
7,5.151724599663378,5.151724599663378
8,5.151724599663378,5.151724599663378
9,5.151724599663378,5.151724599663378
10,5.151724599663378,5.151724599663378
11,5.151724599663378,5.151724599663378
12,5.151724599663378,5.151724599663378
13,5.151724599663378,5.151724599663378
14,5.151724599663378,5.151724599663378
15,5.151724599663378,5.151724599663378
16,5.151724599663378,5.151724599663378
17,5.151724599663378,5.151724599663378
18,5.151724599663378,5.151724599663378
19,5.151724599663378,5.151724599663378
