ger,avgFit,bestFit
0,38.23135707102566,13.819252980282782
1,33.89599893863327,10.154474258440647
2,27.716556256986546,7.898118140328677
3,24.072089095344623,3.0522244834389376
4,22.660895735913723,2.7196475776600124
5,23.168569733551767,6.2884235746940895
6,21.990301040739787,6.82092675818258
7,19.042290511446076,5.027913426922634
8,16.66070069027756,3.7770279246641607
9,17.210502849953045,3.7770279246641607
10,15.754668676173669,3.7770279246641607
11,14.452720325154763,3.6918241170372568
12,12.497245238798676,4.079381591360942
13,11.135928249341005,3.7770279246641607
14,10.694509915416445,4.989461043984257
15,9.589209310439609,4.989461043984257
16,8.633401543791859,4.989461043984257
17,7.858734976084728,4.981330549692277
18,6.38930055339085,4.981330549692277
19,5.8774809645985036,4.981330549692277
