ger,avgFit,bestFit
0,35.61930843593121,7.320787058676469
1,31.02206679886272,8.029985094881447
2,27.072679496137958,6.9614502707972825
3,22.852985950624547,3.551777082987371
4,20.786860932431487,3.551777082987371
5,17.31974781732553,3.551777082987371
6,16.099460113361694,2.7017780352989504
7,14.28987279666785,2.7017780352989504
8,13.209987848620747,3.5715403668022248
9,11.151764581671948,1.3772139509244141
10,10.541577060945633,1.3772139509244141
11,8.51268102687088,1.001121920508762
12,7.226283755973707,1.001121920508762
13,5.467882449587863,1.001121920508762
14,4.588299266535979,1.001121920508762
15,2.6395596467580673,1.0006094282395637
16,1.666206060195356,1.0006094282395637
17,1.1491895974536122,1.0006094282395637
18,1.0393457857494317,1.0006094282395637
19,1.003805775030151,1.0006094282395637
