ger,avgFit,bestFit
0,36.58410614060569,8.837891565919243
1,30.437550671047035,2.4262526600788554
2,23.976620050922282,1.2584560689835058
3,20.523416865789756,1.2584560689835058
4,17.977167301298397,1.192274574682095
5,16.04788266942823,1.192274574682095
6,15.174903486218687,1.28693836940446
7,14.177428374532694,1.1729613024332117
8,13.599590334941789,1.1729613024332117
9,11.810435540594643,1.1729613024332117
10,11.21886112843274,1.1729613024332117
11,10.099237442895664,1.1639221208837682
12,11.094716366222768,1.1639221208837682
13,9.339593308438763,1.0703995102701676
14,9.65026366225889,1.0703995102701676
15,7.859653573530224,1.0703995102701676
16,5.578461200114211,1.0703995102701676
17,3.57687783404885,1.0703995102701676
18,1.8478002535766094,1.0703995102701676
19,1.5953489807218073,1.0703995102701676
