ger,avgFit,bestFit
0,36.148615817093976,5.452082903956693
1,30.31454378492615,5.439303481497639
2,24.913875536561736,5.439303481497639
3,20.758917527390295,5.384377899930154
4,16.870734038039483,5.080451220721088
5,16.199238926826837,3.9994945813210023
6,14.972061580209134,3.9994945813210023
7,12.721449767204517,4.255537296366061
8,14.207608757746286,1.7624804394364553
9,11.28537768871559,3.534832726413125
10,10.81447439453571,2.838317238033248
11,9.770304830494911,2.838317238033248
12,10.347736961676937,1.7624804394364553
13,7.446583134280869,0.7649006493193689
14,7.4114590625854255,0.5690133890128521
15,6.372260187095168,0.5690133890128521
16,3.716604382098603,0.43632697298932044
17,2.973740865714516,0.43632697298932044
18,2.9293333040942042,0.15417624530534724
19,2.582263511992534,0.15417624530534724
