ger,avgFit,bestFit
0,36.611018784449705,2.779168527862531
1,27.64517424403326,2.2258454404208194
2,23.366147708316735,2.1974929866224926
3,20.43594231876209,1.508027980740092
4,19.133358721606125,3.3598498465736775
5,18.401234140769088,2.8962113342279316
6,15.780133332088015,2.8962113342279316
7,13.255934075259834,2.1995637260915295
8,11.73805094110568,1.8628233330844282
9,10.96268140440646,1.8628233330844282
10,10.648000446809089,1.8628233330844282
11,7.908413408991873,1.759061362255398
12,8.535624958378838,1.759061362255398
13,7.297280281945485,1.759061362255398
14,5.7802192268963974,1.759061362255398
15,4.850320180869906,1.759061362255398
16,4.318624706103901,1.8628233330844282
17,2.898947552429962,1.8628233330844282
18,2.3700084397835797,1.8628233330844282
19,2.720195229972402,1.759061362255398
