ger,avgFit,bestFit
0,55.79999411172173,55.79999411172173
1,55.79999411172173,55.79999411172173
2,55.79999411172173,55.79999411172173
3,55.79999411172173,55.79999411172173
4,55.79999411172173,55.79999411172173
5,55.79999411172173,55.79999411172173
6,55.79999411172173,55.79999411172173
7,55.79999411172173,55.79999411172173
8,55.79999411172173,55.79999411172173
9,55.79999411172173,55.79999411172173
10,23.696888682067332,23.696888682067332
11,23.696888682067332,23.696888682067332
12,23.696888682067332,23.696888682067332
13,23.696888682067332,23.696888682067332
14,23.696888682067332,23.696888682067332
15,23.696888682067332,23.696888682067332
16,23.696888682067332,23.696888682067332
17,23.696888682067332,23.696888682067332
18,23.696888682067332,23.696888682067332
19,23.696888682067332,23.696888682067332
