ger,avgFit,bestFit
0,44.38726151681179,44.38726151681179
1,44.38726151681179,44.38726151681179
2,44.38726151681179,44.38726151681179
3,44.38726151681179,44.38726151681179
4,44.38726151681179,44.38726151681179
5,44.38726151681179,44.38726151681179
6,44.38726151681179,44.38726151681179
7,44.38726151681179,44.38726151681179
8,44.38726151681179,44.38726151681179
9,44.38726151681179,44.38726151681179
10,44.38726151681179,44.38726151681179
11,44.38726151681179,44.38726151681179
12,44.38726151681179,44.38726151681179
13,44.38726151681179,44.38726151681179
14,44.38726151681179,44.38726151681179
15,44.38726151681179,44.38726151681179
16,44.38726151681179,44.38726151681179
17,44.38726151681179,44.38726151681179
18,44.38726151681179,44.38726151681179
19,44.38726151681179,44.38726151681179
