ger,avgFit,bestFit
0,35.111510810954236,1.3198195312747814
1,29.48173990674647,1.3670752362560634
2,25.209360498053716,1.3670752362560634
3,21.097390139526514,1.3670752362560634
4,19.023156618371093,1.3670752362560634
5,17.245202230227225,1.3670752362560634
6,15.18062446036543,1.20750968171183
7,14.263660177169765,1.1818437929596577
8,13.220207805794569,1.028961882037887
9,12.617720384021872,1.028961882037887
10,11.624824258528323,1.0006094282395637
11,10.67421524345117,1.0006094282395637
12,10.37119767730151,1.0006094282395637
13,9.323364959926113,0.6808210091294491
14,8.889856585344353,0.059389364189463834
15,8.257751100003366,0.8584351565722059
16,7.973820672886735,0.8584351565722059
17,7.894813155550271,0.36992479951497614
18,7.517626924269469,0.521277847600075
19,6.81049430778409,0.05902858990050319
