ger,avgFit,bestFit
0,35.90043932194746,3.1491274643368676
1,28.62062105427415,1.5904907762131053
2,23.817741211481078,1.3622180398125359
3,20.79021190302915,0.9976694939276918
4,18.551016652723508,1.5904907762131053
5,17.727777546156215,1.0294743743070853
6,16.347870920868097,0.35115541920562876
7,14.656835481575905,0.9111899817947062
8,13.828012102803642,0.8750644928534896
9,13.193332194284434,0.17294562561469107
10,12.330462176718033,0.08774181798778713
11,12.327963471038407,0.04025920959115936
12,11.741555428619675,0.17294562561469107
13,10.481456692311282,0.02148982928181198
14,10.118602962507037,0.02148982928181198
15,10.288440809566127,0.02148982928181198
16,10.256446790590685,0.02148982928181198
17,10.163335645976284,0.02148982928181198
18,9.512255927682059,0.011906755792832513
19,8.428261452857882,0.011906755792832513
