ger,avgFit,bestFit
0,35.853853101071365,10.240979773467817
1,29.115983096770957,10.404913468889337
2,24.278612569138836,8.408153895989525
3,20.85268792548233,6.260792559537169
4,17.929099466648562,5.274632546480483
5,15.755310552913928,5.342337550507025
6,13.603362779381028,5.342337550507025
7,14.216669971853142,5.342337550507025
8,13.110007930229383,5.342337550507025
9,9.890293852570933,5.342337550507025
10,9.352942063847967,5.342337550507025
11,6.713063263393651,5.342337550507025
12,6.025322304994879,5.342337550507025
13,5.671477872339506,5.342337550507025
14,5.435369568038194,5.342337550507025
15,5.368918126944497,5.342337550507025
16,5.342337550507018,5.342337550507025
17,5.342337550507018,5.342337550507025
18,5.701300104498662,5.342337550507025
19,5.342337550507018,5.342337550507025
