ger,avgFit,bestFit
0,36.5721937636136,3.84653744589842
1,28.94952233595681,2.374804189505916
2,24.54527896759554,2.086098368139563
3,20.764678040231587,1.5726954938773758
4,17.940502156487135,1.0395743034471465
5,16.78620569899043,1.115895620547601
6,16.334181076749267,1.115895620547601
7,13.58680570607822,1.0107049939977415
8,11.913545637745793,1.0475483610005938
9,9.861875832943575,1.049157376936126
10,8.05951388001152,1.049157376936126
11,6.195683995075719,1.001121920508762
12,4.571224850372409,1.001121920508762
13,3.788669035947487,1.001121920508762
14,3.4403442084586566,1.001121920508762
15,2.8339400878592267,1.001121920508762
16,2.3393105071077556,1.001121920508762
17,1.7815219259239938,0.9961274206379613
18,1.7105030142754363,0.9961274206379613
19,1.6341809455342238,0.9961274206379613
