ger,avgFit,bestFit
0,35.379452507263615,7.044810490908816
1,30.101344202976065,6.9028994425279855
2,25.543483218936807,6.643147631506949
3,20.581787643029543,1.7260710169917992
4,18.252573733394147,5.148082839278256
5,17.300191992335908,5.048565659056724
6,15.112074936343866,2.2972331005131785
7,11.822665606830423,2.063907979891443
8,9.827374628702083,2.063907979891443
9,8.002151849098375,2.0355555260931197
10,7.2682324717481945,1.8087227434559487
11,9.800389175267277,1.8087227434559487
12,9.442292655469997,1.8087227434559487
13,3.9675820782531126,1.8087227434559487
14,2.044628311308582,2.0355555260931197
15,2.0395248696248847,2.0355555260931197
16,2.0366896242450525,2.0355555260931197
17,2.0355555260931197,2.0355555260931197
18,2.0355555260931197,2.0355555260931197
19,2.0355555260931197,2.0355555260931197
