ger,avgFit,bestFit
0,34.838688903845856,5.908620231654023
1,27.90392477451395,5.908620231654023
2,25.713103137590988,5.908620231654023
3,21.006165699169077,5.900489737362047
4,16.342348963796937,3.249637561108596
5,13.047752213356569,3.249637561108596
6,11.18200555792153,4.320882438940494
7,7.494845705936457,5.157118440802787
8,8.414693972888868,5.157118440802787
9,6.040184133362942,5.157118440802787
10,5.552635411834624,5.1489879465108075
11,5.443617922766993,5.1489879465108075
12,5.357243090904893,5.157118440802787
13,5.356039926946994,5.050608139453683
14,5.397011603170374,5.050608139453683
15,5.23648566010124,5.050608139453683
16,5.230064200113096,5.050608139453683
17,5.175233600385445,5.050608139453683
18,5.136327733816809,5.050608139453683
19,5.131244507656905,5.050608139453683
