ger,avgFit,bestFit
0,35.986155768135944,5.363234516134879
1,30.32818262843127,2.903507475958726
2,25.467465015643484,7.659453494729327
3,22.60338284107724,5.556200435404396
4,19.75577903852983,5.41308896858353
5,18.592747108294347,5.41308896858353
6,17.389260029123403,3.3589543100778982
7,16.39211615898428,1.5904907762131053
8,15.811854242449156,1.8457821933108463
9,14.87483095435128,2.071438121948404
10,13.84234294460025,1.4069237110114514
11,13.124084171822748,1.8457821933108463
12,12.064428034788076,1.8457821933108463
13,11.512643236015972,1.4069237110114514
14,10.521749224430087,0.650983613605181
15,12.499396729864786,0.08774181798778713
16,12.450445183989714,0.29555062668889676
17,11.118868803636554,0.29555062668889676
18,8.502417796128286,0.059389364189463834
19,6.242188808685725,0.059389364189463834
