ger,avgFit,bestFit
1,39.13594303398089,16.00378895977204
2,32.682826642688426,15.591286895074507
3,27.188349583441425,13.559680594693617
4,24.964497152014733,12.524688370426082
5,20.39032386419402,11.366425044716888
6,18.98769505654865,11.117497315676358
7,15.968919828999947,10.765163371000684
8,14.926630643834278,11.079023533801898
9,13.427181208172124,11.079023533801898
10,13.24929208828732,11.079023533801898
11,12.272612191228097,11.084576982815092
12,12.418519702208652,11.084576982815092
13,11.774424927733824,11.084576982815092
14,11.767645774311058,11.084576982815092
15,12.019568231592613,11.084576982815092
16,11.395108235777938,11.084576982815092
17,11.084576982815092,11.084576982815092
18,11.084576982815092,11.084576982815092
19,11.084576982815092,11.084576982815092
20,11.084576982815092,11.084576982815092
