ger,avgFit,bestFit
0,42.95466293649919,13.078496341630135
1,33.259861573156215,9.838738947489688
2,25.409837883067347,9.838738947489688
3,23.255422558525293,12.416343123663298
4,18.492568479622932,12.416343123663298
5,13.940134740408292,12.416343123663298
6,13.548510570812036,12.416343123663298
7,15.481216344019618,12.725612358467393
8,13.827129366177653,12.725612358467393
9,12.72561235846739,12.725612358467393
10,12.72561235846739,12.725612358467393
11,12.72561235846739,12.725612358467393
12,12.72561235846739,12.725612358467393
13,12.72561235846739,12.725612358467393
14,12.72561235846739,12.725612358467393
15,12.72561235846739,12.725612358467393
16,12.72561235846739,12.725612358467393
17,12.72561235846739,12.725612358467393
18,12.72561235846739,12.725612358467393
19,12.72561235846739,12.725612358467393
